"sampling_code","sample_name","test","plating_replicate","count"
"1221_A","H_NC","APC",NA,0
"1221_A","H_NC","GN",NA,0
"1221_A","H_NC","PC",NA,0
"1221_A","DI_NC","APC",NA,0
"1221_A","DI_NC","GN",NA,0
"1221_A","DI_NC","PC",NA,0
"1221_A","D7_NC","APC",NA,0
"1221_A","D7_NC","GN",NA,0
"1221_A","D7_NC","PC",NA,0
"1221_A","D12_NC","APC",NA,0
"1221_A","D12_NC","GN",NA,0
"1221_A","D12_NC","PC",NA,0
"1221_A","D17_NC","APC",NA,0
"1221_A","D17_NC","GN",NA,0
"1221_A","D17_NC","PC",NA,0
"1221_A","D22_NC","APC",NA,0
"1221_A","D22_NC","GN",NA,0
"1221_A","D22_NC","PC",NA,0
"0122_A","DI_NC","APC",NA,0
"0122_A","DI_NC","GN",NA,0
"0122_A","DI_NC","PC",NA,0
"0122_A","D7_NC","APC",NA,0
"0122_A","D7_NC","GN",NA,0
"0122_A","D7_NC","PC",NA,0
"0122_A","D12_NC","APC",NA,0
"0122_A","D12_NC","GN",NA,0
"0122_A","D12_NC","PC",NA,0
"0122_A","D17_NC","APC",NA,0
"0122_A","D17_NC","GN",NA,0
"0122_A","D17_NC","PC",NA,0
"0122_A","D22_NC","APC",NA,0
"0122_A","D22_NC","GN",NA,0
"0122_A","D22_NC","PC",NA,0
"0122_B","H_NC","APC",NA,0
"0122_B","H_NC","GN",NA,0
"0122_B","H_NC","PC",NA,0
"0122_B","DI_NC","APC",NA,0
"0122_B","DI_NC","GN",NA,0
"0122_B","DI_NC","PC",NA,0
"0122_B","D7_NC","APC",NA,0
"0122_B","D7_NC","GN",NA,0
"0122_B","D7_NC","PC",NA,0
"0122_B","D12_NC","APC",NA,0
"0122_B","D12_NC","GN",NA,0
"0122_B","D12_NC","PC",NA,0
"0122_B","D17_NC","APC",NA,0
"0122_B","D17_NC","GN",NA,0
"0122_B","D17_NC","PC",NA,0
"0122_B","D22_NC","APC",NA,0
"0122_B","D22_NC","GN",NA,0
"0122_B","D22_NC","PC",NA,0
"0222_A","H_NC","APC",NA,0
"0222_A","H_NC","GN",NA,0
"0222_A","H_NC","PC",NA,0
"0222_A","DI_NC","APC",NA,0
"0222_A","DI_NC","GN",NA,0
"0222_A","DI_NC","PC",NA,0
"0222_A","D7_NC","APC",NA,0
"0222_A","D7_NC","GN",NA,0
"0222_A","D7_NC","PC",NA,0
"0222_A","D12_NC","APC",NA,0
"0222_A","D12_NC","GN",NA,0
"0222_A","D12_NC","PC",NA,0
"0222_A","D17_NC","APC",NA,0
"0222_A","D17_NC","GN",NA,0
"0222_A","D17_NC","PC",NA,0
"0222_A","D22_NC","APC",NA,0
"0222_A","D22_NC","GN",NA,0
"0222_A","D22_NC","PC",NA,0
"0222_B","H_NC","APC",NA,0
"0222_B","H_NC","GN",NA,0
"0222_B","H_NC","PC",NA,0
"0222_B","DI_NC","APC",NA,0
"0222_B","DI_NC","GN",NA,0
"0222_B","DI_NC","PC",NA,0
"0222_B","D7_NC","APC",NA,0
"0222_B","D7_NC","GN",NA,0
"0222_B","D7_NC","PC",NA,0
"0222_B","D12_NC","APC",NA,0
"0222_B","D12_NC","GN",NA,0
"0222_B","D12_NC","PC",NA,0
"0222_B","D17_NC","APC",NA,0
"0222_B","D17_NC","GN",NA,0
"0222_B","D17_NC","PC",NA,0
"0222_B","D22_NC","APC",NA,0
"0222_B","D22_NC","GN",NA,0
"0222_B","D22_NC","PC",NA,0
"0322_A","H_NC","APC",NA,0
"0322_A","H_NC","GN",NA,0
"0322_A","H_NC","PC",NA,0
"0322_A","DI_NC","APC",NA,0
"0322_A","DI_NC","GN",NA,0
"0322_A","DI_NC","PC",NA,0
"0322_A","D7_NC","APC",NA,0
"0322_A","D7_NC","GN",NA,0
"0322_A","D7_NC","PC",NA,0
"0322_A","D12_NC","APC",NA,0
"0322_A","D12_NC","GN",NA,0
"0322_A","D12_NC","PC",NA,0
"0322_A","D17_NC","APC",NA,0
"0322_A","D17_NC","GN",NA,0
"0322_A","D17_NC","PC",NA,0
"0322_A","D22_NC","APC",NA,0
"0322_A","D22_NC","GN",NA,0
"0322_A","D22_NC","PC",NA,0
"0322_B","H_NC","APC",NA,0
"0322_B","H_NC","GN",NA,0
"0322_B","H_NC","PC",NA,0
"0322_B","DI_NC","APC",NA,0
"0322_B","DI_NC","GN",NA,1
"0322_B","DI_NC","PC",NA,0
"0322_B","D7_NC","APC",NA,0
"0322_B","D7_NC","GN",NA,0
"0322_B","D7_NC","PC",NA,NA
"0322_B","D12_NC","APC",NA,0
"0322_B","D12_NC","GN",NA,0
"0322_B","D12_NC","PC",NA,0
"0322_B","D17_NC","APC",NA,0
"0322_B","D17_NC","GN",NA,0
"0322_B","D17_NC","PC",NA,0
"0322_B","D22_NC","APC",NA,0
"0322_B","D22_NC","GN",NA,0
"0322_B","D22_NC","PC",NA,0
"0422_A","H_NC","APC",NA,0
"0422_A","H_NC","GN",NA,0
"0422_A","H_NC","PC",NA,0
"0422_A","DI_NC","APC",NA,0
"0422_A","DI_NC","GN",NA,0
"0422_A","DI_NC","PC",NA,0
"0422_A","D7_NC","APC",NA,0
"0422_A","D7_NC","GN",NA,0
"0422_A","D7_NC","PC",NA,0
"0422_A","D12_NC","APC",NA,0
"0422_A","D12_NC","GN",NA,0
"0422_A","D12_NC","PC",NA,0
"0422_A","D17_NC","APC",NA,0
"0422_A","D17_NC","GN",NA,0
"0422_A","D17_NC","PC",NA,0
"0422_B","H_NC","APC",NA,0
"0422_B","H_NC","GN",NA,0
"0422_B","H_NC","PC",NA,0
"0422_B","DI_NC","APC",NA,0
"0422_B","DI_NC","GN",NA,0
"0422_B","DI_NC","PC",NA,0
"0422_B","D7_NC","APC",NA,0
"0422_B","D7_NC","GN",NA,0
"0422_B","D7_NC","PC",NA,0
"0422_B","D12_NC","APC",NA,0
"0422_B","D12_NC","GN",NA,0
"0422_B","D12_NC","PC",NA,0
"0522_A","H_NC","APC",NA,0
"0522_A","H_NC","GN",NA,0
"0522_A","H_NC","PC",NA,0
"0522_A","DI_NC","APC",NA,0
"0522_A","DI_NC","GN",NA,0
"0522_A","DI_NC","PC",NA,0
"0522_A","D7_NC","APC",NA,0
"0522_A","D7_NC","GN",NA,0
"0522_A","D7_NC","PC",NA,0
"0522_B","H_NC","APC",NA,0
"0522_B","H_NC","GN",NA,0
"0522_B","H_NC","PC",NA,0
"0522_B","DI_NC","APC",NA,0
"0522_B","DI_NC","GN",NA,0
"0522_B","DI_NC","PC",NA,0
"0522_B","D7_NC","APC",NA,0
"0522_B","D7_NC","GN",NA,0
"0522_B","D7_NC","PC",NA,0
"0522_B","D12_NC","APC",NA,0
"0522_B","D12_NC","GN",NA,0
"0522_B","D12_NC","PC",NA,0
"0522_B","D17_NC","APC",NA,0
"0522_B","D17_NC","GN",NA,0
"0522_B","D17_NC","PC",NA,0
"0522_B","D22_NC","APC",NA,0
"0522_B","D22_NC","GN",NA,0
"0522_B","D22_NC","PC",NA,0
"0522_C","H_NC","APC",NA,0
"0522_C","H_NC","GN",NA,0
"0522_C","H_NC","PC",NA,0
"0522_C","DI_NC","APC",NA,0
"0522_C","DI_NC","GN",NA,0
"0522_C","DI_NC","PC",NA,0
"0522_C","D7_NC","APC",NA,0
"0522_C","D7_NC","GN",NA,0
"0522_C","D7_NC","PC",NA,0
"0522_C","D12_NC","APC",NA,0
"0522_C","D12_NC","GN",NA,0
"0522_C","D12_NC","PC",NA,0
"0522_C","D17_NC","APC",NA,0
"0522_C","D17_NC","GN",NA,0
"0522_C","D17_NC","PC",NA,0
"0522_C","D22_NC","APC",NA,0
"0522_C","D22_NC","GN",NA,0
"0522_C","D22_NC","PC",NA,0
"0622_A","H_NC","APC",NA,0
"0622_A","H_NC","GN",NA,0
"0622_A","H_NC","PC",NA,0
"0622_A","DI_NC","APC",NA,0
"0622_A","DI_NC","GN",NA,0
"0622_A","DI_NC","PC",NA,0
"0622_A","D7_NC","APC",NA,0
"0622_A","D7_NC","GN",NA,0
"0622_A","D7_NC","PC",NA,0
"0622_A","D12_NC","APC",NA,0
"0622_A","D12_NC","GN",NA,0
"0622_A","D12_NC","PC",NA,0
"0622_A","D17_NC","APC",NA,0
"0622_A","D17_NC","GN",NA,0
"0622_A","D17_NC","PC",NA,0
"0622_A","D22_NC","APC",NA,0
"0622_A","D22_NC","GN",NA,0
"0622_A","D22_NC","PC",NA,0
"0622_B","H_NC","APC",NA,0
"0622_B","H_NC","GN",NA,0
"0622_B","H_NC","PC",NA,0
"0622_B","DI_NC","APC",NA,0
"0622_B","DI_NC","GN",NA,0
"0622_B","DI_NC","PC",NA,0
"0622_B","D7_NC","APC",NA,0
"0622_B","D7_NC","GN",NA,0
"0622_B","D7_NC","PC",NA,0
"0622_B","D12_NC","APC",NA,0
"0622_B","D12_NC","GN",NA,0
"0622_B","D12_NC","PC",NA,0
"0622_B","D17_NC","APC",NA,0
"0622_B","D17_NC","GN",NA,0
"0622_B","D17_NC","PC",NA,0
"0622_B","D22_NC","APC",NA,0
"0622_B","D22_NC","GN",NA,0
"0622_B","D22_NC","PC",NA,0
"0722_A","H_NC","APC",NA,0
"0722_A","H_NC","GN",NA,0
"0722_A","H_NC","PC",NA,0
"0722_A","DI_NC","APC",NA,0
"0722_A","DI_NC","GN",NA,0
"0722_A","DI_NC","PC",NA,0
"0722_A","D7_NC","APC",NA,0
"0722_A","D7_NC","GN",NA,0
"0722_A","D7_NC","PC",NA,0
"0722_A","D12_NC","APC",NA,0
"0722_A","D12_NC","GN",NA,0
"0722_A","D12_NC","PC",NA,0
"0722_A","D17_NC","APC",NA,0
"0722_A","D17_NC","GN",NA,0
"0722_A","D17_NC","PC",NA,0
"0722_A","D22_NC","APC",NA,0
"0722_A","D22_NC","GN",NA,0
"0722_A","D22_NC","PC",NA,0
"0722_B","H_NC","APC",NA,0
"0722_B","H_NC","GN",NA,0
"0722_B","H_NC","PC",NA,0
"0822_A","H_NC","APC",NA,0
"0822_A","H_NC","GN",NA,0
"0822_A","H_NC","PC",NA,0
"0822_A","DI_NC","APC",NA,0
"0822_A","DI_NC","GN",NA,0
"0822_A","DI_NC","PC",NA,0
"0822_A","D7_NC","APC",NA,0
"0822_A","D7_NC","GN",NA,0
"0822_A","D7_NC","PC",NA,0
"0822_A","D12_NC","APC",NA,0
"0822_A","D12_NC","GN",NA,0
"0822_A","D12_NC","PC",NA,0
"0822_A","D17_NC","APC",NA,0
"0822_A","D17_NC","GN",NA,0
"0822_A","D17_NC","PC",NA,0
"0822_A","D22_NC","APC",NA,0
"0822_A","D22_NC","GN",NA,0
"0822_A","D22_NC","PC",NA,0
"0822_B","DI_NC","APC",NA,0
"0822_B","DI_NC","GN",NA,0
"0822_B","DI_NC","PC",NA,NA
"0822_B","D7_NC","APC",NA,0
"0822_B","D7_NC","GN",NA,0
"0822_B","D7_NC","PC",NA,0
"0822_B","D12_NC","APC",NA,0
"0822_B","D12_NC","GN",NA,0
"0822_B","D12_NC","PC",NA,0
"0822_B","D17_NC","APC",NA,0
"0822_B","D17_NC","GN",NA,0
"0822_B","D17_NC","PC",NA,0
"0822_B","D22_NC","APC",NA,0
"0822_B","D22_NC","GN",NA,0
"0822_B","D22_NC","PC",NA,0
"0922_A","H_NC","APC",NA,0
"0922_A","H_NC","GN",NA,0
"0922_A","H_NC","PC",NA,0
"0922_A","DI_NC","APC",NA,0
"0922_A","DI_NC","GN",NA,0
"0922_A","DI_NC","PC",NA,0
"0922_A","D7_NC","APC",NA,0
"0922_A","D7_NC","GN",NA,0
"0922_A","D7_NC","PC",NA,0
"0922_A","D12_NC","APC",NA,0
"0922_A","D12_NC","GN",NA,0
"0922_A","D12_NC","PC",NA,0
"0922_A","D17_NC","APC",NA,0
"0922_A","D17_NC","GN",NA,0
"0922_A","D17_NC","PC",NA,0
"0922_A","D22_NC","APC",NA,0
"0922_A","D22_NC","GN",NA,0
"0922_A","D22_NC","PC",NA,0
"0922_B","H_NC","APC",NA,0
"0922_B","H_NC","GN",NA,0
"0922_B","H_NC","PC",NA,0
"0922_B","DI_NC","APC",NA,0
"0922_B","DI_NC","GN",NA,0
"0922_B","DI_NC","PC",NA,0
"0922_B","D7_NC","APC",NA,0
"0922_B","D7_NC","GN",NA,0
"0922_B","D7_NC","PC",NA,0
"0922_B","D12_NC","APC",NA,1
"0922_B","D12_NC","GN",NA,0
"0922_B","D12_NC","PC",NA,0
"0922_B","D17_NC","APC",NA,0
"0922_B","D17_NC","GN",NA,0
"0922_B","D17_NC","PC",NA,0
"0922_B","D22_NC","APC",NA,0
"0922_B","D22_NC","GN",NA,0
"0922_B","D22_NC","PC",NA,0
"1022_A","H_NC","APC",NA,0
"1022_A","H_NC","GN",NA,0
"1022_A","H_NC","PC",NA,0
"1022_A","DI_NC","APC",NA,0
"1022_A","DI_NC","GN",NA,0
"1022_A","DI_NC","PC",NA,0
"1022_A","D7_NC","APC",NA,0
"1022_A","D7_NC","GN",NA,0
"1022_A","D7_NC","PC",NA,0
"1022_A","D12_NC","APC",NA,0
"1022_A","D12_NC","GN",NA,0
"1022_A","D12_NC","PC",NA,0
"1022_A","D17_NC","APC",NA,0
"1022_A","D17_NC","GN",NA,0
"1022_A","D17_NC","PC",NA,0
"1022_A","D22_NC","APC",NA,0
"1022_A","D22_NC","GN",NA,0
"1022_A","D22_NC","PC",NA,0
"1022_B","H_NC","APC",NA,0
"1022_B","H_NC","GN",NA,0
"1022_B","H_NC","PC",NA,0
"1022_B","DI_NC","APC",NA,0
"1022_B","DI_NC","GN",NA,0
"1022_B","DI_NC","PC",NA,0
"1022_B","D7_NC","APC",NA,0
"1022_B","D7_NC","GN",NA,0
"1022_B","D7_NC","PC",NA,0
"1022_B","D12_NC","APC",NA,0
"1022_B","D12_NC","GN",NA,0
"1022_B","D12_NC","PC",NA,0
"1022_B","D17_NC","APC",NA,0
"1022_B","D17_NC","GN",NA,0
"1022_B","D17_NC","PC",NA,0
"1022_B","D22_NC","APC",NA,0
"1022_B","D22_NC","GN",NA,0
"1022_B","D22_NC","PC",NA,0
"1122_A","DI_NC","APC",NA,0
"1122_A","DI_NC","GN",NA,0
"1122_A","DI_NC","PC",NA,0
"1122_A","D7_NC","APC",NA,0
"1122_A","D7_NC","GN",NA,0
"1122_A","D7_NC","PC",NA,0
"1122_A","D12_NC","APC",NA,0
"1122_A","D12_NC","GN",NA,0
"1122_A","D12_NC","PC",NA,0
"1122_A","D17_NC","APC",NA,0
"1122_A","D17_NC","GN",NA,0
"1122_A","D17_NC","PC",NA,0
"1122_A","D22_NC","APC",NA,0
"1122_A","D22_NC","GN",NA,0
"1122_A","D22_NC","PC",NA,0
"1122_B","D7_NC","APC",NA,0
"1122_B","D7_NC","GN",NA,0
"1122_B","D7_NC","PC",NA,0
"1122_B","D12_NC","APC",NA,0
"1122_B","D12_NC","GN",NA,0
"1122_B","D12_NC","PC",NA,0
"1122_B","D17_NC","APC",NA,0
"1122_B","D17_NC","GN",NA,0
"1122_B","D17_NC","PC",NA,0
"1122_B","D22_NC","APC",NA,0
"1122_B","D22_NC","GN",NA,0
"1122_B","D22_NC","PC",NA,0
"1222_A","H_NC","APC",NA,0
"1222_A","H_NC","GN",NA,0
"1222_A","H_NC","PC",NA,0
"1222_A","DI_NC","APC",NA,0
"1222_A","DI_NC","GN",NA,0
"1222_A","DI_NC","PC",NA,0
"1222_A","D7_NC","APC",NA,0
"1222_A","D7_NC","GN",NA,0
"1222_A","D7_NC","PC",NA,0
"1222_A","D12_NC","APC",NA,0
"1222_A","D12_NC","GN",NA,0
"1222_A","D12_NC","PC",NA,0
"1222_A","D17_NC","APC",NA,0
"1222_A","D17_NC","GN",NA,0
"1222_A","D17_NC","PC",NA,0
"1222_A","D22_NC","APC",NA,0
"1222_A","D22_NC","GN",NA,0
"1222_A","D22_NC","PC",NA,0
"1222_B","H_NC","APC",NA,0
"1222_B","H_NC","GN",NA,0
"1222_B","H_NC","PC",NA,0
"1222_B","DI_NC","APC",NA,0
"1222_B","DI_NC","GN",NA,0
"1222_B","DI_NC","PC",NA,0
"1222_B","D7_NC","APC",NA,0
"1222_B","D7_NC","GN",NA,0
"1222_B","D7_NC","PC",NA,0
"1222_B","D12_NC","APC",NA,0
"1222_B","D12_NC","GN",NA,0
"1222_B","D12_NC","PC",NA,0
"1222_B","D17_NC","APC",NA,0
"1222_B","D17_NC","GN",NA,0
"1222_B","D17_NC","PC",NA,0
"1222_B","D22_NC","APC",NA,0
"1222_B","D22_NC","GN",NA,0
"1222_B","D22_NC","PC",NA,0
"1222_C","H_NC","APC",NA,0
"1222_C","H_NC","GN",NA,0
"1222_C","H_NC","PC",NA,0
