"sampling_code","n0","mumax","nmax","model","aic","bic","fit","test"
"0122_A",5.72659057750904,0.272518782887824,7.73859821052745,"buchanan_no_lag",-9.75485894686233,-11.3171072971259,"yes","apc"
"0122_B",3.9397252491511,0.821500479242829,7.08032506504569,"baranyi_no_lag",1.23556297502869,-0.326685375234904,"yes","apc"
"0222_A",4.81400233829577,0.531207446185994,8.37178069564202,"baranyi_no_lag",8.98648158269197,7.42423323242837,"yes","apc"
"0222_B",4.71854057577009,0.552143147271473,8.01112581523557,"baranyi_no_lag",4.24532889558642,2.68308054532282,"yes","apc"
"0322_A",4.56675149111246,0.691428748485667,7.84544252110326,"baranyi_no_lag",-4.68580251706154,-6.24805086732514,"yes","apc"
"0322_B",4.38482728613131,0.663583749141714,6.71039095506046,"buchanan_no_lag",-6.85152387937988,-8.41377222964348,"yes","apc"
"0422_A",6.41092816393531,0.811000156885822,9.27423477622878,"baranyi_no_lag",-6.45730816130566,-8.91213071682609,"yes","apc"
"0422_B",5.67936314593908,0.350892732852065,15.8066802476541,"baranyi_no_lag",-0.787900753281754,-4.39345159860931,"yes","apc"
"0522_B",5.96029140326074,0.239910453334251,9.37349127811791,"baranyi_no_lag",5.91656485900586,4.35431650874226,"yes","apc"
"0522_C",6.41659896227689,0.356619045635887,8.90506416294251,"baranyi_no_lag",-0.0888405955872074,-1.65108894585081,"yes","apc"
"0622_A",5.70581422620393,0.338901062287476,8.82749994922458,"baranyi_no_lag",-25.5683888274476,-27.1306371777112,"yes","apc"
"0622_B",5.51078633343003,0.49810754904841,8.29787276348492,"baranyi_no_lag",4.99704001110887,3.43479166084527,"yes","apc"
"0722_A",4.24793492436593,0.745377124968291,8.64969578490843,"baranyi_no_lag",-0.289488589046087,-1.85173693930969,"yes","apc"
"0822_A",5.11006248497946,0.712593105263082,9.20698381807134,"baranyi_no_lag",9.88357768587259,8.321329335609,"yes","apc"
"0822_B",5.16504867274697,0.725731329657189,8.86583421344393,"baranyi_no_lag",2.23165970959737,0.669411359333773,"yes","apc"
"0922_A",5.56001586636908,0.574418555247253,8.81461736731951,"baranyi_no_lag",-3.54431470146139,-5.10656305172499,"yes","apc"
"0922_B",6.23191758572497,0.409371241446432,9.0135511518208,"baranyi_no_lag",-3.40632126196626,-4.96856961222986,"yes","apc"
"1022_A",6.31905417858197,0.510066975926867,9.28659991061113,"baranyi_no_lag",-1.76990264253607,-3.33215099279966,"yes","apc"
"1022_B",6.06398604454953,0.516791913452578,9.27968883915479,"baranyi_no_lag",5.3232249972548,3.7609766469912,"yes","apc"
"1122_A",4.88916453195871,0.457315031510881,7.51804224590447,"baranyi_no_lag",1.67814636379931,0.115898013535711,"yes","apc"
"1122_B",5.7837100149126,0.313632163611242,8.14775805888974,"baranyi_no_lag",-21.9958980984935,-24.4507206540139,"yes","apc"
"1221_A",5.30897138025025,0.371462035941354,9.02653901401737,"baranyi_no_lag",-1.35849427183997,-2.92074262210356,"yes","apc"
"1222_A",5.00153034843395,0.317085306518768,7.8261274952934,"baranyi_no_lag",5.16547652069899,3.60322817043539,"yes","apc"
"1222_B",5.0039915579459,0.407364974892598,7.85609845715721,"baranyi_no_lag",-0.57619797863299,-2.13844632889659,"yes","apc"
"0122_A",5.81233404790927,0.426699742998632,8.53441535793132,"buchanan_no_lag",-6.18818920007365,-7.75043755033725,"yes","pc"
"0122_B",4.38042686234698,0.807598228638259,7.63691707690733,"baranyi_no_lag",4.51550290565539,2.9532545553918,"yes","pc"
"0222_A",5.25238505838086,0.535840009877624,9.00151732276652,"baranyi_no_lag",11.571277962748,10.0090296124844,"yes","pc"
"0222_B",4.92980525806306,0.60088716001152,8.34395619016198,"buchanan_no_lag",-0.123148442222414,-1.68539679248601,"yes","pc"
"0322_A",4.81668302956363,0.901212703938786,8.63615067369272,"baranyi_no_lag",0.00674124857997604,-1.55550710168362,"yes","pc"
"0322_B",4.42788644303273,0.861534295592808,7.40880658995783,"buchanan_no_lag",-14.2014931488901,-15.7637414991537,"yes","pc"
"0422_A",6.61086932693346,0.812421632618188,9.57880579197488,"baranyi_no_lag",-21.0851989735858,-23.5400215291063,"yes","pc"
"0522_B",7.04900839062862,0.293972071504001,9.5715200525564,"baranyi_no_lag",7.92127855490385,6.35903020464025,"yes","pc"
"0522_C",6.46486162722033,0.459251541300195,9.24350596458219,"baranyi_no_lag",5.97374819097729,4.4114998407137,"yes","pc"
"0622_A",5.76587942684301,0.462130714030646,9.42872693624286,"baranyi_no_lag",-6.28848038802703,-7.85072873829063,"yes","pc"
"0622_B",5.3339880660033,0.638917332933902,8.51765703153749,"baranyi_no_lag",4.11630216537518,2.55405381511159,"yes","pc"
"0722_A",4.19981544211276,0.821021097633581,8.94879542146493,"baranyi_no_lag",1.83337119655509,0.271122846291487,"yes","pc"
"0822_A",5.38859979788025,0.675656435940749,9.50617331731381,"baranyi_no_lag",9.99727755086296,8.43502920059937,"yes","pc"
"0822_B",5.05703192721489,0.745739557797139,9.15084253568038,"baranyi_no_lag",2.9937841584088,1.4315358081452,"yes","pc"
"0922_A",5.27924976061162,0.901873739549721,8.97033004523599,"baranyi_no_lag",3.68184253689327,2.11959418662967,"yes","pc"
"0922_B",6.49395577236425,0.388430452425096,9.07504888496234,"baranyi_no_lag",-4.06373275226392,-5.62598110252752,"yes","pc"
"1022_A",6.10336450316768,0.622300757626313,9.60314235981448,"baranyi_no_lag",4.11075914924369,2.54851079898009,"yes","pc"
"1022_B",6.19247555971865,0.572969493388918,9.74777547027911,"baranyi_no_lag",6.04746601073251,4.48521766046891,"yes","pc"
"1122_A",3.8131433259394,0.829206362933846,7.35254160864911,"baranyi_no_lag",8.70677510458494,7.14452675432134,"yes","pc"
"1122_B",5.6888604290293,0.422954107068298,8.26162394195205,"baranyi_no_lag",-22.3289732692247,-24.7837958247451,"yes","pc"
"1221_A",5.23473481918408,0.466514972022152,9.87178829424851,"baranyi_no_lag",7.84888772277178,6.28663937250818,"yes","pc"
"1222_A",4.56175916359991,0.396733873535051,7.62577908620297,"baranyi_no_lag",7.52148006253315,5.95923171226955,"yes","pc"
"1222_B",5.21607784878507,0.537587231462795,8.34275729862656,"baranyi_no_lag",6.78433950554916,5.22209115528556,"yes","pc"
