sampling_code,sample_type,location
1221_A,r,FL
1221_A,f,FL
0122_A,f,AZ
0122_B,r,AZ
0122_B,f,AZ
0222_A,r,AZ
0222_A,f,AZ
0222_B,r,AZ
0222_B,f,AZ
0322_A,r,AZ
0322_A,f,AZ
0322_B,r,AZ
0322_B,f,AZ
0422_A,r,AZ
0422_A,f,AZ
0422_B,r,CA
0422_B,f,CA
0522_A,r,CA
0522_A,f,CA
0522_B,r,CA
0522_B,f,CA
0522_C,r,CA
0522_C,f,CA
0622_A,r,CA
0622_A,f,CA
0622_B,r,CA
0622_B,f,CA
0722_A,r,CA
0722_A,f,CA
0722_B,r,CA
0822_A,r,CA
0822_A,f,CA
0822_B,f,CA
0922_A,r,CA
0922_A,f,CA
0922_B,r,CA
0922_B,f,CA
1022_A,r,CA
1022_A,f,CA
1022_B,r,CA
1022_B,f,CA
1122_A,f,CA
1122_B,f,GA
1222_A,r,AZ
1222_A,f,AZ
1222_B,r,AZ
1222_B,f,AZ
1222_C,r,AZ